Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06037229410","Census Tract 2294.10, Los Angeles County, California","ACSSF","ca","140","00","0004996",,,,,"06","037",,,"229410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037229410","Census Tract 2294.10",,,,3952,421,185,210,1097,590,1449
"06037229420","Census Tract 2294.20, Los Angeles County, California","ACSSF","ca","140","00","0004997",,,,,"06","037",,,"229420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037229420","Census Tract 2294.20",,,,4249,428,509,233,931,474,1674
"06037231100","Census Tract 2311, Los Angeles County, California","ACSSF","ca","140","00","0004998",,,,,"06","037",,,"231100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231100","Census Tract 2311",,,,3580,950,335,370,534,413,978
"06037231210","Census Tract 2312.10, Los Angeles County, California","ACSSF","ca","140","00","0004999",,,,,"06","037",,,"231210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231210","Census Tract 2312.10",,,,4341,391,726,609,403,379,1833
"06037231220","Census Tract 2312.20, Los Angeles County, California","ACSSF","ca","140","00","0005000",,,,,"06","037",,,"231220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231220","Census Tract 2312.20",,,,4727,590,70,245,740,754,2328
"06037231301","Census Tract 2313.01, Los Angeles County, California","ACSSF","ca","140","00","0005001",,,,,"06","037",,,"231301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231301","Census Tract 2313.01",,,,2588,514,94,48,280,505,1147
"06037231302","Census Tract 2313.02, Los Angeles County, California","ACSSF","ca","140","00","0005002",,,,,"06","037",,,"231302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231302","Census Tract 2313.02",,,,3265,68,16,34,425,613,2109
"06037231400","Census Tract 2314, Los Angeles County, California","ACSSF","ca","140","00","0005003",,,,,"06","037",,,"231400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231400","Census Tract 2314",,,,4940,674,91,290,690,298,2897
"06037231500","Census Tract 2315, Los Angeles County, California","ACSSF","ca","140","00","0005004",,,,,"06","037",,,"231500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231500","Census Tract 2315",,,,5148,284,89,333,430,693,3319
"06037231601","Census Tract 2316.01, Los Angeles County, California","ACSSF","ca","140","00","0005005",,,,,"06","037",,,"231601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231601","Census Tract 2316.01",,,,2394,144,53,121,83,532,1461
